1,Private flight,(unknown),-,N/A,(unknown),(unknown),Y
2,135 Airways,(unknown),(unknown),GNL,GENERAL,United States,N
3,1Time Airline,(unknown),1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,(unknown),(unknown),WYT,(unknown),United Kingdom,N
5,213 Flight Unit,(unknown),(unknown),TFU,(unknown),Russia,N
6,223 Flight Unit State Airline,(unknown),(unknown),CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,(unknown),(unknown),TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,(unknown),(unknown),TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,(unknown),(unknown),SEC,SECUREX,United States,N
10,40-Mile Air,(unknown),Q5,MLA,MILE-AIR,United States,Y
11,4D Air,(unknown),(unknown),QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,(unknown),(unknown),THD,DONUT,Canada,N
13,Ansett Australia,(unknown),AN,AAA,ANSETT,Australia,Y
14,Abacus International,(unknown),1B,(unknown),(unknown),Singapore,Y
15,Abelag Aviation,(unknown),W9,AAB,ABG,Belgium,N
16,Army Air Corps,(unknown),(unknown),AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,(unknown),(unknown),AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,(unknown),(unknown),SII,ASEISA,Mexico,N
19,Aero Biniza,(unknown),(unknown),BZS,BINIZA,Mexico,N
20,Aero Albatros,(unknown),(unknown),ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,(unknown),ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,(unknown),AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,(unknown),(unknown),AAK,ALASKA ISLAND,United States,N
24,American Airlines,(unknown),AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,(unknown),(unknown),AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),(unknown),(unknown),AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,(unknown),(unknown),AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,(unknown),OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,(unknown),4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,(unknown),(unknown),AAU,AUSTASIA,Australia,N
31,Astro Air International,(unknown),(unknown),AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,(unknown),8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,(unknown),Q9,AFU,(unknown),Gambia,N
34,Afric'air Express,(unknown),(unknown),AAX,AFREX,Ivory Coast,N
35,Allegiant Air,(unknown),G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,(unknown),(unknown),AAZ,ANGUS,Canada,N
37,Artem-Avia,(unknown),(unknown),ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,(unknown),(unknown),ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,(unknown),K5,ABE,ABAN,Iran,n
40,Aerial Oy,(unknown),(unknown),ABF,SKYWINGS,Finland,N
41,Abakan-Avia,(unknown),(unknown),ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,(unknown),M3,TUS,ABSA Cargo,Brazil,Y
43,Abaet,(unknown),(unknown),ABJ,Abaet,Brazil,N
44,Alberta Citylink,(unknown),(unknown),ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,(unknown),(unknown),ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,(unknown),(unknown),ABU,AEROBUENO,Colombia,N
47,Aerocenter,(unknown),(unknown),ACR,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,(unknown),04,ABV,ANTRAK,Ghana,N
49,Airborne Express,(unknown),GB,ABX,ABEX,United States,N
50,ABX Air,(unknown),GB,ABX,ABEX,United States,N
51,ATA Brasil,(unknown),(unknown),ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,(unknown),(unknown),ACC,(unknown),United Kingdom,N
53,Academy Airlines,(unknown),(unknown),ACD,ACADEMY,United States,N
